Collection,Volume (7d),Sales (7d),⏷  Volume (All Time),Sales (All Time),Avg Price (7d),Total Supply,Owners,Owners%,Estimated Market Cap,Added,Compound Score,Positive Score,Neutral Score,Negative Score
Infinity Frogs NFT,0.38 ETH,22,329.28 ETH,3692,0.02 ETH,10000,3783,37.83%,171.77 ETH,2021/10/12,,,,
Lobby Lobsters,0.13 ETH,21,326.52 ETH,2495,0.01 ETH,10000,2476,24.76%,60.09 ETH,2021/09/13,,,,
Lucha Libre Knockout,0.93 ETH,40,321.50 ETH,5739,0.02 ETH,10000,2998,29.98%,231.80 ETH,2021/08/11,,,,
Chads NFT,2.09 ETH,20,310.57 ETH,4658,0.10 ETH,10000,2324,23.24%,"1,046.95 ETH",2021/08/28,,,,
Dapper Dinos Karma Collective,1.68 ETH,4,308.73 ETH,224,0.42 ETH,555,468,84.32%,233.10 ETH,2021/10/27,,,,
Raccoon Mafia,0.11 ETH,9,303.48 ETH,2769,0.01 ETH,3331,1497,44.94%,38.21 ETH,2021/09/01,,,,
Rabbit College Club,0.04 ETH,8,303.45 ETH,6109,0.00 ETH,10000,2129,21.29%,49.38 ETH,2021/07/18,,,,
Goat Soup by Andy Milonakis,157.14 ETH,1005,302.50 ETH,2087,0.16 ETH,3744,2382,63.62%,585.42 ETH,2021/12/03,,,,
DropBears NFT,1.73 ETH,44,299.09 ETH,4736,0.04 ETH,10000,3969,39.69%,392.89 ETH,2021/08/31,,,,
Animathereum,0 ETH,3,298.73 ETH,4425,0 ETH,9999,2208,22.08%,0 ETH,2021/09/30,,,,
Nice Drips,0.04 ETH,18,297.80 ETH,5673,0.00 ETH,11111,2986,26.87%,26.54 ETH,2021/08/07,,,,
CleverGirls NFT,7.00 ETH,188,295.39 ETH,3221,0.04 ETH,5555,2001,36.02%,206.76 ETH,2021/09/15,,,,
Gator World NFT,0.27 ETH,7,293.27 ETH,5713,0.04 ETH,3010,1271,42.23%,117.39 ETH,2021/10/12,,,,
Mad Banana Union,0.17 ETH,12,292.50 ETH,3099,0.01 ETH,6969,2300,33.00%,96.98 ETH,2021/08/26,,,,
Rare Ghost Club (RGC),17.50 ETH,116,291.36 ETH,1713,0.15 ETH,5006,2404,48.02%,755.36 ETH,2021/11/05,,,,
Kamagang,0.48 ETH,7,285.55 ETH,2232,0.07 ETH,3163,1173,37.09%,214.63 ETH,2021/07/24,,,,
Voxel Ville Official,32.78 ETH,188,285.25 ETH,1630,0.17 ETH,2250,1032,45.87%,392.29 ETH,2021/11/30,,,,
PixaWizards,0 ETH,0,282.09 ETH,1261,0 ETH,1000,493,49.30%,0 ETH,2021/10/22,,,,
The NFTBirds,0.70 ETH,8,280.10 ETH,2009,0.09 ETH,1499,700,46.70%,130.79 ETH,2021/10/14,,,,
MutantKongz,0.80 ETH,1,278.57 ETH,1060,0.80 ETH,500,181,36.20%,400.00 ETH,2021/09/24,,,,
Superfuzz The Bad Batch,0.21 ETH,2,276.34 ETH,683,0.11 ETH,777,490,63.06%,81.59 ETH,2021/10/05,,,,
Bored Mummy Baby Waking Up,2.38 ETH,33,273.12 ETH,1910,0.07 ETH,3888,2602,66.92%,280.85 ETH,2021/08/27,,,,
Osiris Cosmic Kids,0.75 ETH,20,273.05 ETH,3812,0.04 ETH,9999,2630,26.30%,373.96 ETH,2021/08/12,,,,
The KittyButts,0.34 ETH,12,272.84 ETH,5506,0.03 ETH,10000,2631,26.31%,283.67 ETH,2021/08/06,,,,
Two Bit Bears,2.11 ETH,73,271.94 ETH,3271,0.03 ETH,5000,1595,31.90%,144.52 ETH,2021/10/28,,,,
Hewer Clan,0.01 ETH,9,271.25 ETH,3923,0.00 ETH,9999,2823,28.23%,13.33 ETH,2021/08/29,,,,
Raccoon Secret Society,0.02 ETH,3,271.07 ETH,4652,0.01 ETH,10000,3113,31.13%,50.00 ETH,2021/08/29,,,,
Monas,0.90 ETH,15,269.86 ETH,4447,0.06 ETH,5002,1925,38.48%,300.75 ETH,2021/08/14,,,,
Ape Harbour Yachts,2.80 ETH,43,267.67 ETH,3665,0.07 ETH,7776,2416,31.07%,512.83 ETH,2021/07/26,,,,
Rickstro Frens,0.04 ETH,4,266.15 ETH,1965,0.01 ETH,9200,2333,25.36%,73.60 ETH,2021/08/28,,,,
HDPunks,0.54 ETH,11,262.59 ETH,8755,0.05 ETH,10000,1131,11.31%,494.45 ETH,2021/08/09,,,,
Qubits On The Ice,0.05 ETH,14,256.50 ETH,3823,0.01 ETH,9999,2493,24.93%,72.62 ETH,2021/07/23,,,,
Animal Society,1.51 ETH,73,255.27 ETH,3181,0.02 ETH,7777,3636,46.75%,160.70 ETH,2021/11/06,,,,
Mighty Manateez,1.50 ETH,63,254.22 ETH,6046,0.02 ETH,10000,2475,24.75%,238.82 ETH,2021/09/20,,,,
Froggies Beginnings,0.09 ETH,5,250.37 ETH,2841,0.02 ETH,4096,1586,38.72%,93.76 ETH,2021/10/14,,,,
Blob Mob,0.17 ETH,4,249.84 ETH,2329,0.04 ETH,939,505,53.78%,39.90 ETH,2021/07/02,,,,
GalaXY Kats Universe,28.82 ETH,226,248.63 ETH,1501,0.13 ETH,10000,2930,29.30%,"1,268.24 ETH",2021/12/02,,,,
HatchDracoNFT,0.00 ETH,1,246.74 ETH,2537,0.00 ETH,8050,1627,20.21%,15.30 ETH,2021/09/20,,,,
Outlaw Gals MC,0.34 ETH,34,243.67 ETH,3186,0.01 ETH,6000,1783,29.72%,59.70 ETH,2021/10/19,,,,
astroGems,0.04 ETH,1,242.88 ETH,2427,0.04 ETH,1074,475,44.23%,40.28 ETH,2021/10/17,,,,
PunkBabies,0.08 ETH,4,241.60 ETH,7172,0.02 ETH,3901,954,24.46%,81.58 ETH,2021/06/15,,,,
Degen'$ Farm,0 ETH,0,237.91 ETH,647,0 ETH,957,192,20.06%,0 ETH,2021/07/22,,,,
Neon Junkies,0.01 ETH,13,230.85 ETH,3511,0.00 ETH,9130,2854,31.26%,3.96 ETH,2021/09/07,,,,
FullBodyApeClub,13.99 ETH,78,229.48 ETH,736,0.18 ETH,1111,514,46.26%,199.32 ETH,2021/12/05,,,,
Sleeper Hits Collection Volume 1 NFT Cribs,0.00 ETH,3,228.47 ETH,1192,0.00 ETH,5555,1928,34.71%,0.00 ETH,2021/09/24,,,,
Starlink PixelNauts,15.64 ETH,161,227.60 ETH,1267,0.10 ETH,10000,1579,15.79%,957.82 ETH,2021/11/23,,,,
DSC eMATES | 4 DA NXT LV,76.22 ETH,870,224.09 ETH,1716,0.09 ETH,6800,1378,20.26%,597.02 ETH,2021/12/01,,,,
Mr. Bojangles - Sleepy Sloth,0 ETH,0,223.91 ETH,1229,0.01 ETH,1180,508,43.05%,5.90 ETH,2021/10/17,,,,
Unstable Horses Yard,0.45 ETH,30,215.28 ETH,3788,0.02 ETH,9999,2868,28.68%,150.26 ETH,2021/08/20,,,,
The SneakerHeadz Society,0.75 ETH,39,214.84 ETH,2071,0.02 ETH,4445,1196,26.91%,85.14 ETH,2021/10/17,,,,
COSMIC COWGIRLS: NFT,7.04 ETH,141,213.71 ETH,2607,0.05 ETH,6969,2194,31.48%,347.99 ETH,2021/11/09,,,,
Lazy Bunny NFT,44.90 ETH,385,211.61 ETH,1454,0.12 ETH,5555,2801,50.42%,647.77 ETH,2021/11/24,,,,
Bushidos,2.65 ETH,49,210.07 ETH,1942,0.05 ETH,8888,2798,31.48%,452.15 ETH,2021/11/03,,,,
Cyber Hornets Colony Club,4.63 ETH,58,209.80 ETH,2320,0.08 ETH,8888,2091,23.53%,704.83 ETH,2021/10/14,,,,
Official DogeX,0.30 ETH,8,207.67 ETH,1597,0.04 ETH,9999,2491,24.91%,372.34 ETH,2021/09/13,,,,
Maneki Gang,0.39 ETH,16,207.40 ETH,2218,0.02 ETH,11358,2211,19.47%,277.56 ETH,2021/08/30,,,,
Mad Cat Militia,0.05 ETH,6,207.34 ETH,3261,0.01 ETH,8271,2157,26.08%,67.62 ETH,2021/07/27,,,,
CryptoSkulls,0.27 ETH,8,206.06 ETH,3622,0.03 ETH,9997,1201,12.01%,337.40 ETH,2021/08/05,,,,
Unusual Whales,0.77 ETH,32,204.25 ETH,2742,0.02 ETH,6969,2899,41.60%,168.67 ETH,2021/09/15,,,,
Wicked Monsters,1.81 ETH,26,203.60 ETH,925,0.07 ETH,4326,2154,49.79%,305.72 ETH,2021/11/17,,,,
Frogs In Disguise,0.07 ETH,4,202.72 ETH,2671,0.02 ETH,10005,3188,31.86%,172.59 ETH,2021/09/21,,,,
The Shark Cove,0.60 ETH,9,202.59 ETH,2520,0.07 ETH,2913,969,33.26%,193.39 ETH,2021/08/26,,,,
Skullx,2.83 ETH,71,202.43 ETH,1406,0.04 ETH,10000,2627,26.27%,398.06 ETH,2021/11/22,,,,
DJENERATES,1.21 ETH,33,199.19 ETH,1570,0.04 ETH,10000,1776,17.76%,365.76 ETH,2021/08/30,,,,
Bones Club Heritage,0.26 ETH,4,195.88 ETH,2190,0.07 ETH,1010,580,57.43%,72.14 ETH,2021/09/19,,,,
SportsIcon Lion Club,3.15 ETH,76,191.11 ETH,2494,0.04 ETH,9000,2754,30.60%,373.01 ETH,2021/08/25,,,,
MUTANT PUNKS CITY,9.53 ETH,136,181.87 ETH,1390,0.07 ETH,3608,1718,47.62%,252.79 ETH,2021/12/05,,,,
Mini Monkey Mafia,0.05 ETH,11,177.85 ETH,3465,0.00 ETH,5000,1734,34.68%,21.82 ETH,2021/09/24,,,,
HypeHippo.io,0.02 ETH,6,177.43 ETH,2486,0.00 ETH,10000,3643,36.43%,27.70 ETH,2021/09/01,,,,
Re-Genz,0.08 ETH,6,177.11 ETH,695,0.01 ETH,2538,971,38.26%,34.14 ETH,2021/08/26,,,,
Hammys,6.81 ETH,68,175.17 ETH,1541,0.10 ETH,1000,425,42.50%,100.18 ETH,2021/12/07,,,,
Penguin Fight Club,1.84 ETH,58,172.95 ETH,2505,0.03 ETH,10000,3210,32.10%,316.40 ETH,2021/09/25,,,,
DeepSeaJelly,0.01 ETH,5,172.80 ETH,3818,0.00 ETH,9970,6978,69.99%,26.32 ETH,2021/10/02,,,,
Gods Of Rock,4.31 ETH,72,172.27 ETH,1767,0.06 ETH,7525,2397,31.85%,450.83 ETH,2021/10/13,,,,
Fxck Face,0.03 ETH,3,172.02 ETH,7472,0.01 ETH,5328,1844,34.61%,65.00 ETH,2021/11/03,,,,
GRAYCRAFT2,11.28 ETH,112,170.54 ETH,1955,0.10 ETH,5200,1567,30.13%,523.56 ETH,2021/08/26,,,,
isotile Genesis Avatars,1.62 ETH,37,168.61 ETH,1337,0.04 ETH,7587,1252,16.50%,332.04 ETH,2021/12/08,,,,
Panda Dynasty,3.43 ETH,102,167.90 ETH,2948,0.03 ETH,8888,3501,39.39%,298.60 ETH,2021/09/08,,,,
vEmpire - The Founding Soldiers,1.00 ETH,2,164.06 ETH,417,0.50 ETH,562,122,21.71%,281.00 ETH,2021/11/23,,,,
Deadbears Official,0.38 ETH,21,162.69 ETH,2768,0.02 ETH,10000,2182,21.82%,178.90 ETH,2021/08/16,,,,
The Fuckin' Trolls,0.00 ETH,2,160.72 ETH,3920,0.00 ETH,10003,2039,20.38%,0.05 ETH,2021/08/27,,,,
The Street Dawgs,1.10 ETH,24,154.84 ETH,1197,0.05 ETH,3086,958,31.04%,141.06 ETH,2021/09/29,,,,
Mighty Baby Dragons,0.01 ETH,8,154.23 ETH,2931,0.00 ETH,10000,2153,21.53%,13.31 ETH,2021/10/08,,,,
SatoshiFaces,0 ETH,0,153.46 ETH,813,0.03 ETH,3647,806,22.10%,109.41 ETH,2021/06/06,,,,
Keplers Civil Society,0.01 ETH,11,151.61 ETH,2555,0.00 ETH,7776,1964,25.26%,3.71 ETH,2021/08/30,,,,
Metaverse Travel Agency (M.T.A.),3.03 ETH,41,150.80 ETH,1380,0.07 ETH,5669,2753,48.56%,410.11 ETH,2021/10/17,,,,
DEMONZv1,0.34 ETH,11,150.42 ETH,1682,0.03 ETH,6967,1846,26.50%,217.24 ETH,2021/09/07,,,,
Procedural Space,0.00 ETH,2,150.10 ETH,2004,0.01 ETH,10000,1465,14.65%,60.00 ETH,2021/08/10,,,,
Royal Ceramic Club,0 ETH,1,150.00 ETH,1512,0 ETH,5000,2123,42.46%,0 ETH,2021/10/06,,,,
Guppy Gang,17.62 ETH,143,148.71 ETH,1097,0.12 ETH,8001,1849,23.11%,986.00 ETH,2021/12/09,,,,
KidPunks,0.10 ETH,2,147.38 ETH,1492,0.05 ETH,999,285,28.53%,49.95 ETH,2021/08/23,,,,
Encryptas,0.51 ETH,25,147.35 ETH,2091,0.02 ETH,10000,3078,30.78%,204.36 ETH,2021/09/30,,,,
SVINS,1.01 ETH,5,146.87 ETH,1168,0.15 ETH,711,296,41.63%,103.31 ETH,2021/07/13,,,,
Crazy Panthers Party,0.03 ETH,7,145.76 ETH,1669,0.00 ETH,3333,1066,31.98%,12.74 ETH,2021/10/22,,,,
Reckless Whales,0.02 ETH,25,145.60 ETH,4273,0.00 ETH,9944,2064,20.76%,7.46 ETH,2021/07/22,,,,
BLU Blox,0.43 ETH,12,144.77 ETH,1238,0.04 ETH,10000,3725,37.25%,359.50 ETH,2021/09/26,,,,
Soccer Doge Club,2.26 ETH,40,143.96 ETH,2399,0.06 ETH,9782,1737,17.76%,553.17 ETH,2021/08/30,,,,
Top Cat Beach Club,1.05 ETH,27,142.67 ETH,1051,0.05 ETH,6872,2082,30.30%,317.06 ETH,2021/10/01,,,,
Degen Gang,0.41 ETH,21,138.24 ETH,1628,0.02 ETH,7000,2173,31.04%,135.63 ETH,2021/09/24,,,,
ArcadeNFT - ToadRunnerz,0.44 ETH,19,136.46 ETH,1083,0.02 ETH,4777,3253,68.10%,111.63 ETH,2021/11/22,,,,
Polar Pals Bobsledding,0.02 ETH,2,135.49 ETH,1738,0.01 ETH,4154,1125,27.08%,39.46 ETH,2021/09/09,,,,
Bit Wine,0.09 ETH,3,133.52 ETH,868,0.03 ETH,1000,314,31.40%,31.33 ETH,2021/09/24,,,,
MonkePunks,0.34 ETH,8,133.04 ETH,1622,0.04 ETH,999,578,57.86%,42.42 ETH,2021/10/28,,,,
The 4001 Project,0.01 ETH,3,131.74 ETH,1962,0.00 ETH,3988,908,22.77%,12.63 ETH,2021/08/11,,,,
Absurd Arboretum,0.26 ETH,3,127.54 ETH,1299,0.09 ETH,2838,943,33.23%,245.96 ETH,2021/08/09,,,,
MissCryptoClub,0.10 ETH,5,124.41 ETH,2003,0.02 ETH,3144,1157,36.80%,59.74 ETH,2021/08/24,,,,
Merry Modz,21.51 ETH,105,121.34 ETH,725,0.20 ETH,10000,2929,29.29%,"2,042.28 ETH",2021/11/30,,,,
PandaParadise,2.78 ETH,79,118.91 ETH,1716,0.04 ETH,8888,2583,29.06%,312.99 ETH,2021/11/04,,,,
Slimes World,0.68 ETH,7,114.59 ETH,810,0.10 ETH,1000,248,24.80%,96.86 ETH,2021/10/26,,,,
Platy Punks - Official,3.22 ETH,40,112.95 ETH,2638,0.08 ETH,3570,932,26.11%,286.94 ETH,2021/11/03,,,,
BrokeBoyz,2.03 ETH,43,112.90 ETH,1250,0.05 ETH,5798,1853,31.96%,273.73 ETH,2021/12/02,,,,
Criminal Donkeys,0.89 ETH,19,112.29 ETH,2474,0.05 ETH,9945,946,9.51%,464.61 ETH,2021/08/06,,,,
Monster Rehab,0.01 ETH,1,110.69 ETH,1697,0.01 ETH,5365,1629,30.36%,69.74 ETH,2021/07/13,,,,
Beatnik Tiki Tribe,0.19 ETH,14,108.10 ETH,1700,0.01 ETH,4998,1606,32.13%,68.94 ETH,2021/10/02,,,,
Cool Kitty NFT,0.38 ETH,14,107.39 ETH,2433,0.03 ETH,3852,1154,29.96%,103.65 ETH,2021/10/30,,,,
Song A Day,0 ETH,0,105.33 ETH,819,0.35 ETH,738,315,42.68%,258.30 ETH,2021/06/05,,,,
Cybergirl Fashion,0.32 ETH,2,104.48 ETH,1538,0.15 ETH,3330,506,15.20%,512.82 ETH,2021/09/27,,,,
AiVATAR,0.71 ETH,19,102.39 ETH,1622,0.04 ETH,6000,1583,26.38%,217.68 ETH,2021/10/23,,,,
Paradise Trippies,91.25 ETH,702,101.89 ETH,809,0.13 ETH,7475,1638,21.91%,971.66 ETH,2021/12/06,,,,
Royal Society Chips,2.76 ETH,13,100.18 ETH,691,0.21 ETH,10000,1235,12.35%,"2,126.35 ETH",2021/09/25,,,,
Niftyriots,0.05 ETH,8,99.38 ETH,1705,0.01 ETH,5532,1634,29.54%,35.61 ETH,2021/09/29,,,,
ORCZ!,0.01 ETH,2,97.14 ETH,1300,0.01 ETH,8793,2895,32.92%,46.16 ETH,2021/09/02,,,,
Catshit Crazy,0 ETH,0,96.50 ETH,1184,0 ETH,10069,2544,25.27%,0 ETH,2021/08/28,,,,
Floyds World,0.06 ETH,26,96.34 ETH,975,0.00 ETH,9941,1594,16.03%,26.00 ETH,2021/08/30,,,,
BullsOnTheBlock Evo,4.50 ETH,27,95.01 ETH,462,0.17 ETH,5573,1761,31.60%,928.63 ETH,2021/10/18,,,,
Cute Pig Club,0.04 ETH,18,94.29 ETH,2663,0.00 ETH,10000,2107,21.07%,20.84 ETH,2021/08/10,,,,
MeowBits Collection,0.10 ETH,1,92.62 ETH,323,0.10 ETH,209,71,33.97%,20.90 ETH,2021/06/28,,,,
Crumbys Bakery,0.15 ETH,3,90.37 ETH,1196,0.05 ETH,1000,356,35.60%,48.50 ETH,2021/07/16,,,,
RagingRhinos,0.07 ETH,10,83.00 ETH,2264,0.01 ETH,5000,1552,31.04%,33.95 ETH,2021/08/16,,,,
Fine-Ass CryptoApes (FACA),0.08 ETH,3,81.55 ETH,588,0.03 ETH,1793,645,35.97%,50.80 ETH,2021/09/21,,,,
INVADERS (ALIEN),0.02 ETH,1,81.15 ETH,1446,0.04 ETH,8663,980,11.31%,307.54 ETH,2021/10/12,,,,
Bones & Bananas,0.01 ETH,3,80.55 ETH,2107,0.00 ETH,10000,6869,68.69%,26.33 ETH,2021/07/23,,,,
Chibi Galaxy,3.42 ETH,55,80.23 ETH,701,0.06 ETH,3500,1620,46.29%,217.36 ETH,2021/11/24,,,,
Panda Golf Squad,0.07 ETH,5,79.45 ETH,1390,0.01 ETH,3220,1076,33.42%,41.86 ETH,2021/06/30,,,,
Wixa,0 ETH,0,78.79 ETH,1493,0 ETH,7772,1392,17.91%,0 ETH,2021/10/20,,,,
KBOT_FACTORY,0.00 ETH,5,77.97 ETH,1477,0.00 ETH,3999,899,22.48%,0.00 ETH,2021/10/20,,,,
Crazy Dragon Corps,0.16 ETH,4,77.63 ETH,234,0.04 ETH,1239,611,49.31%,50.80 ETH,2021/09/20,,,,
Delisted Tiny Punks,0.01 ETH,1,77.57 ETH,1026,0.01 ETH,1009,354,35.08%,14.03 ETH,2021/10/12,,,,
Creative Art Quest Raining Pixels,0 ETH,0,75.56 ETH,455,0.00 ETH,208,151,72.60%,0.00 ETH,2021/08/23,,,,
Bullish Llama,0.03 ETH,5,74.73 ETH,852,0.01 ETH,3696,1552,41.99%,24.39 ETH,2021/09/30,,,,
Lady KILLAz,0.24 ETH,16,74.72 ETH,1099,0.02 ETH,9971,3187,31.96%,151.37 ETH,2021/10/03,,,,
Starchain Official,0 ETH,0,74.01 ETH,1284,0 ETH,10000,985,9.85%,0 ETH,2021/08/27,,,,
Diamond Crypto Dunks,4.35 ETH,55,73.23 ETH,691,0.08 ETH,4200,1600,38.10%,332.56 ETH,2021/11/11,,,,
RealCryptoPunks,0.71 ETH,2,69.11 ETH,1128,0.35 ETH,4985,807,16.19%,"1,767.18 ETH",2021/07/06,,,,
Punkachus,0.09 ETH,17,67.58 ETH,1433,0.01 ETH,2900,1404,48.41%,15.30 ETH,2021/10/20,,,,
Bearseum Collection,0.39 ETH,21,65.86 ETH,576,0.02 ETH,5000,1350,27.00%,92.45 ETH,2021/10/28,,,,
Kuddle Koalas,0.03 ETH,24,64.57 ETH,1616,0.00 ETH,7497,1879,25.06%,10.38 ETH,2021/11/03,,,,
Chunky Cow Club,0.01 ETH,1,63.63 ETH,2426,0.01 ETH,5000,1354,27.08%,50.00 ETH,2021/08/12,,,,
Farmers Marketverse Patrons,0.33 ETH,13,62.77 ETH,1109,0.02 ETH,5000,1510,30.20%,115.92 ETH,2021/09/26,,,,
Approving Corgis,0.32 ETH,26,62.71 ETH,1181,0.01 ETH,4705,1536,32.65%,58.56 ETH,2021/10/14,,,,
The CryptoSaints,0.05 ETH,2,62.30 ETH,433,0.02 ETH,2130,730,34.27%,49.95 ETH,2021/08/24,,,,
PORK1984,2.22 ETH,32,60.34 ETH,1148,0.07 ETH,6815,2319,34.03%,473.06 ETH,2021/08/08,,,,
Dead Devil Society,0.17 ETH,24,58.61 ETH,1160,0.01 ETH,5000,1197,23.94%,36.00 ETH,2021/10/19,,,,
Angels of Aether,0.27 ETH,7,58.60 ETH,611,0.04 ETH,2870,930,32.40%,108.65 ETH,2021/08/02,,,,
Space Bears Official,0.45 ETH,17,58.54 ETH,1187,0.03 ETH,1003,440,43.87%,26.82 ETH,2021/11/26,,,,
Crypto Ghosts NFT,0.00 ETH,2,58.32 ETH,1110,0.00 ETH,9844,2908,29.54%,7.38 ETH,2021/08/29,,,,
SamuraiDoge,0.81 ETH,17,56.41 ETH,865,0.05 ETH,5031,1581,31.43%,238.96 ETH,2021/10/25,,,,
Pepper Attack,0.02 ETH,1,56.10 ETH,873,0.02 ETH,6626,1259,19.00%,99.39 ETH,2021/08/01,,,,
Angry Meerkats,6.09 ETH,87,55.95 ETH,712,0.07 ETH,7631,2116,27.73%,534.30 ETH,2021/11/08,,,,
Etheremura,0 ETH,0,55.87 ETH,553,0.02 ETH,3167,979,30.91%,60.17 ETH,2021/08/06,,,,
FUD Monsters,0 ETH,0,55.47 ETH,1406,0 ETH,6803,2306,33.90%,0 ETH,2021/08/28,,,,
We are Dorkis,0.53 ETH,21,54.95 ETH,679,0.03 ETH,4721,1164,24.66%,118.79 ETH,2021/09/28,,,,
Art Stars Club Official,0.01 ETH,8,54.02 ETH,890,0.00 ETH,3853,1431,37.14%,4.77 ETH,2021/08/15,,,,
PyMons,0.03 ETH,2,53.77 ETH,1462,0.01 ETH,11111,1682,15.14%,138.89 ETH,2021/09/10,,,,
Chihuahua Gang,0.06 ETH,1,53.36 ETH,679,0.06 ETH,500,188,37.60%,27.50 ETH,2021/07/17,,,,
NFTLions,1.49 ETH,1,52.90 ETH,136,1.49 ETH,101,73,72.28%,150.49 ETH,2021/07/19,,,,
BoringStone Genesis Collection,0.47 ETH,29,52.80 ETH,1067,0.02 ETH,10000,2923,29.23%,162.45 ETH,2021/10/12,,,,
The MonstroCities,0.03 ETH,1,52.15 ETH,688,0.02 ETH,2648,723,27.30%,61.79 ETH,2021/07/12,,,,
GAWDS,1.89 ETH,34,49.69 ETH,607,0.06 ETH,4705,1338,28.44%,261.27 ETH,2021/10/22,,,,
Devious Demon Dudes,0.02 ETH,1,48.53 ETH,585,0.02 ETH,2825,771,27.29%,56.50 ETH,2021/08/22,,,,
Naughty Tigers Costume Club,0.01 ETH,1,47.58 ETH,1528,0.01 ETH,10000,2118,21.18%,50.00 ETH,2021/09/10,,,,
RUUMZ,0.01 ETH,1,46.27 ETH,726,0.01 ETH,3560,1162,32.64%,26.70 ETH,2021/07/31,,,,
The DeFi Rangers,0.13 ETH,3,46.13 ETH,403,0.04 ETH,1902,642,33.75%,84.32 ETH,2021/10/12,,,,
Crazy Crows Chess Club,0.14 ETH,7,44.67 ETH,1192,0.02 ETH,8192,1936,23.63%,168.52 ETH,2021/08/23,,,,
Nice Fun Zombies,4.60 ETH,134,43.45 ETH,922,0.03 ETH,4592,1087,23.67%,157.54 ETH,2021/12/04,,,,
Rebel Kids,0.33 ETH,25,43.26 ETH,725,0.01 ETH,3333,1347,40.41%,43.45 ETH,2021/08/28,,,,
Good Guys NFT,0.08 ETH,3,42.53 ETH,942,0.03 ETH,5712,1462,25.60%,146.42 ETH,2021/10/20,,,,
Trollz,0.02 ETH,2,42.42 ETH,336,0.01 ETH,1005,389,38.71%,8.04 ETH,2021/10/19,,,,
Great Genesis Gorillas,0.23 ETH,15,40.48 ETH,512,0.02 ETH,2000,593,29.65%,30.00 ETH,2021/10/20,,,,
NOOBS NFT,0 ETH,0,39.20 ETH,872,0 ETH,5150,1006,19.53%,0 ETH,2021/09/17,,,,
CryptoFoxes Origins,3.38 ETH,6,37.58 ETH,64,0.56 ETH,796,379,47.61%,448.68 ETH,2021/11/30,,,,
SpaceShibas,0.01 ETH,2,36.12 ETH,749,0.01 ETH,5141,1052,20.46%,25.71 ETH,2021/07/19,,,,
Shiba Society,0.32 ETH,10,35.67 ETH,769,0.03 ETH,2002,670,33.47%,63.44 ETH,2021/08/21,,,,
Degenerated: High Flyers,1.65 ETH,8,35.36 ETH,1843,0.21 ETH,6969,1076,15.44%,"1,433.78 ETH",2021/08/29,,,,
Deebies,0.07 ETH,3,35.27 ETH,338,0.02 ETH,2640,1044,39.55%,61.60 ETH,2021/08/11,,,,
United Punks Union,0.06 ETH,7,34.72 ETH,514,0.01 ETH,3618,1173,32.42%,28.43 ETH,2021/08/05,,,,
TheTigersGuild,0.06 ETH,2,32.45 ETH,578,0.03 ETH,2675,880,32.90%,83.59 ETH,2021/07/17,,,,
Lonely Planet Space Observatory,0.22 ETH,3,32.32 ETH,507,0.07 ETH,4836,2371,49.03%,361.89 ETH,2021/09/29,,,,
Bunker Beasts,0.10 ETH,10,32.29 ETH,574,0.01 ETH,3910,842,21.53%,37.54 ETH,2021/09/07,,,,
Metti Landscape,0.25 ETH,5,30.95 ETH,236,0.04 ETH,1920,643,33.49%,78.72 ETH,2021/12/01,,,,
SingularityHeroes,0 ETH,0,30.69 ETH,505,0 ETH,1882,659,35.02%,0 ETH,2021/07/22,,,,
Minimints,0 ETH,0,30.54 ETH,939,0 ETH,10000,625,6.25%,0 ETH,2021/09/19,,,,
Wannabes Music Club,0.02 ETH,1,30.25 ETH,568,0.02 ETH,2343,843,35.98%,43.73 ETH,2021/08/07,,,,
Potato Power Club,0.23 ETH,15,29.66 ETH,759,0.02 ETH,4329,1128,26.06%,64.94 ETH,2021/12/03,,,,
Baby Apes Rescue (BAR),0.16 ETH,5,29.47 ETH,383,0.03 ETH,2500,989,39.56%,81.00 ETH,2021/11/01,,,,
The WolfGang,7.41 ETH,225,28.20 ETH,964,0.03 ETH,9965,3547,35.59%,327.98 ETH,2021/07/27,,,,
M101 Shelter Survivors,6.34 ETH,87,28.14 ETH,320,0.07 ETH,2408,910,37.79%,175.52 ETH,2021/12/08,,,,
Crypto Tuners,0.00 ETH,2,28.00 ETH,868,0.00 ETH,5000,1272,25.44%,5.00 ETH,2021/08/27,,,,
Muttniks,0.03 ETH,3,27.05 ETH,236,0.01 ETH,1070,446,41.68%,10.70 ETH,2021/07/24,,,,
The Wild Ape Gang - Official,7.65 ETH,110,26.57 ETH,295,0.07 ETH,2513,1380,54.91%,172.37 ETH,2021/12/02,,,,
Sonar Moji,1.05 ETH,4,26.44 ETH,208,0.26 ETH,3372,937,27.79%,884.31 ETH,2021/11/12,,,,
CyberPunkA12,0.01 ETH,1,26.15 ETH,707,0.01 ETH,3291,777,23.61%,22.71 ETH,2021/11/12,,,,
Wild Stag Treehouse,0.01 ETH,1,25.64 ETH,968,0.01 ETH,10012,365,3.65%,50.06 ETH,2021/09/29,,,,
Rich Gator Golf Club,0.65 ETH,18,25.32 ETH,833,0.04 ETH,2222,1051,47.30%,80.05 ETH,2021/11/01,,,,
The Nemesis Companions,3.37 ETH,74,24.95 ETH,555,0.04 ETH,5382,1297,24.10%,238.07 ETH,2021/12/07,,,,
