Collection,Volume (7d),Sales (7d),⏷  Volume (All Time),Sales (All Time),Avg Price (7d),Total Supply,Owners,Owners%,Estimated Market Cap,Added,Compound Score,Positive Score,Neutral Score,Negative Score
DeadFellaz,308.05 ETH,332,"9,165.55 ETH",18093,0.93 ETH,9997,5360,53.62%,"9,275.94 ETH",2021/08/18,0.12300101880877742,0.0927855276907001,0.8611138975966562,0.046100835945663526
The Wicked Craniums,6.48 ETH,49,"8,779.92 ETH",20667,0.13 ETH,10761,3827,35.56%,"1,423.31 ETH",2021/06/21,0.11772034114052952,0.0917489816700611,0.8606952647657841,0.047555753564154785
GEVOLs.,31.01 ETH,101,"8,483.03 ETH",10060,0.31 ETH,8888,3540,39.83%,"2,729.12 ETH",2021/09/02,0.1174075968222443,0.09100099304865938,0.8620625620655413,0.04693669314796425
Winter Bears,45.30 ETH,262,"8,178.98 ETH",18743,0.18 ETH,10000,4558,45.58%,"1,753.03 ETH",2021/09/30,0.1298482315891473,0.09336458333333333,0.8608359980620155,0.04579966085271317
The Vogu Collective,4.91 ETH,33,"8,087.70 ETH",11094,0.15 ETH,7777,2828,36.36%,"1,180.32 ETH",2021/07/28,0.13229846596356665,0.09404362416107381,0.8603571428571428,0.04559923298178332
FVCK_CRYSTAL//,29.16 ETH,21,"8,003.03 ETH",3301,1.39 ETH,4168,1978,47.46%,"5,787.17 ETH",2021/08/12,0.1306614232209738,0.09236118913857679,0.8630142790262172,0.04462453183520599
Desperate ApeWives,"2,628.64 ETH",1539,"7,915.04 ETH",10405,1.71 ETH,10000,4703,47.03%,"17,080.18 ETH",2021/11/01,0.12451004117108874,0.09239158279963404,0.8610375114364136,0.04657182067703568
Metasaurs by Dr. DMT,43.65 ETH,176,"7,615.46 ETH",13260,0.25 ETH,9999,5601,56.02%,"2,479.86 ETH",2021/10/17,0.11962779516994633,0.09299373881932022,0.8596053220035778,0.04740854203935599
Wicked Ape Bone Club,10.72 ETH,83,"7,494.61 ETH",21243,0.13 ETH,9999,4716,47.16%,"1,291.50 ETH",2021/08/19,0.11820374832663991,0.09280566711289602,0.8594763498438197,0.04772556894243642
BASTARD GAN PUNKS V2,13.98 ETH,44,"7,373.37 ETH",10913,0.32 ETH,11304,2847,25.19%,"3,592.36 ETH",2021/08/19,0.11378961152335225,0.09172915757311217,0.8600379746835444,0.04824094281972938
Stoner Cats,13.05 ETH,38,"7,139.82 ETH",8703,0.34 ETH,10419,5005,48.04%,"3,579.11 ETH",2021/07/27,0.11313648013669372,0.09080926954293037,0.8616373344724476,0.047561298590346
Gambling Apes,401.77 ETH,304,"7,113.32 ETH",13133,1.32 ETH,7777,3848,49.48%,"10,278.26 ETH",2021/09/08,0.1135237139272271,0.09108218318695106,0.8611516102049351,0.04777394395650355
Ape Kids Club (AKC),"6,129.25 ETH",9057,"6,956.07 ETH",12976,0.68 ETH,9999,5133,51.34%,"6,766.74 ETH",2021/12/07,0.12415024580090127,0.09233674723473986,0.8608256861941826,0.04684514543219991
Cupcats Official,14.71 ETH,65,"6,853.33 ETH",8368,0.23 ETH,5007,1965,39.25%,"1,133.09 ETH",2021/10/18,0.12083464662875712,0.09161230706742486,0.861296100731113,0.04709910641754671
Ape Gang,46.09 ETH,101,"6,700.36 ETH",28875,0.46 ETH,10000,4027,40.27%,"4,563.35 ETH",2021/07/05,0.12086976512738853,0.09179040605095541,0.8608355891719744,0.047381568471337586
Party Ape | Billionaire Club,132.64 ETH,253,"6,519.10 ETH",11423,0.53 ETH,10330,5023,48.63%,"5,431.21 ETH",2021/10/23,0.1271954332552693,0.0938536299765808,0.8590001951600312,0.0471547619047619
Habbo Avatars,20.67 ETH,110,"6,088.43 ETH",10061,0.19 ETH,11600,3494,30.12%,"2,179.60 ETH",2021/11/11,0.12666747702909648,0.09313035987748852,0.8602767993874426,0.046601071975497704
Al Cabones,2.14 ETH,40,"6,026.37 ETH",15090,0.06 ETH,10000,3655,36.55%,622.10 ETH,2021/10/10,0.12658117466998278,0.0931109623110771,0.8602674574325617,0.04662980677252726
DystoPunks,33.87 ETH,21,"5,874.56 ETH",3019,1.61 ETH,2077,673,32.40%,"3,349.90 ETH",2021/06/27,0.1277257368124648,0.09326919466866905,0.8605342594330769,0.04620461798385583
SpacePunksClub,11.75 ETH,47,"5,781.62 ETH",12604,0.25 ETH,9994,4542,45.45%,"2,497.78 ETH",2021/08/20,0.12838190528837293,0.09365118850193477,0.860232725262576,0.0461232725262576
Forgotten Runes Wizards,110.56 ETH,97,"5,667.68 ETH",12111,1.14 ETH,9456,2489,26.32%,"10,778.16 ETH",2021/07/05,0.12183206079247332,0.09208775104034739,0.8611362402750136,0.04678288402388276
Sipherian Surge,64.33 ETH,178,"5,608.68 ETH",12800,0.36 ETH,9999,3732,37.32%,"3,608.40 ETH",2021/09/11,0.11960220366092057,0.09073644926248445,0.8630920561578107,0.04617824773413898
Galaxy Fight Club,204.00 ETH,249,"5,588.05 ETH",14328,0.82 ETH,10127,2554,25.22%,"8,296.82 ETH",2021/08/23,0.12142751877073511,0.09103335079448227,0.8623397939584426,0.046642919504103375
Voxies,775.56 ETH,622,"5,531.26 ETH",6324,1.25 ETH,10000,1700,17.00%,"12,468.85 ETH",2021/07/01,0.11977446370344946,0.08978977175218808,0.8642443796121504,0.04598163720610949
Boonji Project,143.09 ETH,485,"5,481.55 ETH",10808,0.30 ETH,11110,5549,49.95%,"3,277.77 ETH",2021/12/02,0.11850647882571283,0.08907777965243799,0.8652520668128902,0.04568567572127552
Incognito,15.97 ETH,155,"5,336.58 ETH",16064,0.11 ETH,9998,3314,33.15%,"1,052.07 ETH",2021/08/18,0.11789639953542393,0.08863497594159615,0.8660265472042474,0.04535407333665174
Lonely Alien,3.17 ETH,39,"5,244.27 ETH",14935,0.08 ETH,10001,3830,38.30%,832.11 ETH,2021/07/18,0.11437790109352047,0.08831091888362982,0.8652733801207768,0.046430879712746856
Capsule House,15.13 ETH,117,"5,052.44 ETH",12695,0.13 ETH,10000,2922,29.22%,"1,293.51 ETH",2021/10/04,0.11444490123655052,0.0888405331620363,0.8647791874096675,0.04639553557090092
DeadHeads,17.33 ETH,72,"5,028.11 ETH",14791,0.24 ETH,10000,3093,30.93%,"2,406.81 ETH",2021/07/10,0.11838598071755967,0.08972672672672673,0.8643813813813813,0.0459069069069069
Yakuza Cats Society,94.87 ETH,428,"4,942.70 ETH",13912,0.22 ETH,8929,3212,35.97%,"1,979.23 ETH",2021/10/05,0.12224060992687101,0.09026699859965769,0.8640099579897309,0.04573798039520771
BullsOnTheBlock,3.66 ETH,28,"4,810.94 ETH",15146,0.13 ETH,10000,1701,17.01%,"1,308.86 ETH",2021/06/28,0.12280530105714724,0.09009361115366939,0.8644119810019917,0.04550988202849701
Fang Gang,8.69 ETH,82,"4,377.13 ETH",15040,0.11 ETH,8888,4112,46.26%,941.84 ETH,2021/09/05,0.12434723102459634,0.09088079070469292,0.8635539459785726,0.04557537347215935
Gutter Rats,46.39 ETH,57,"4,342.59 ETH",4275,0.81 ETH,2986,1805,60.45%,"2,418.32 ETH",2021/07/11,0.12360943957187452,0.09030578266686486,0.8643133640552996,0.04539096179574848
Party Degenerates,20.24 ETH,110,"4,336.98 ETH",6144,0.22 ETH,9994,4136,41.38%,"2,173.75 ETH",2021/11/02,0.12472756701332942,0.09054885015380108,0.8642560421854402,0.045205361066354185
Superlative Secret Society (Official),31.39 ETH,146,"4,318.20 ETH",17463,0.21 ETH,11110,5834,52.51%,"2,388.62 ETH",2021/10/15,0.1230665800490833,0.08958625667677206,0.8655018045329869,0.044922044174967514
CryptoMories,337.98 ETH,610,"4,317.05 ETH",17337,0.55 ETH,10000,4304,43.04%,"5,540.65 ETH",2021/11/26,0.125285086096485,0.0906983065319482,0.8648956880603388,0.0444159669844884
CryptoDickbutts S3,38.67 ETH,53,"4,302.25 ETH",6347,0.73 ETH,5200,1484,28.54%,"3,794.32 ETH",2021/08/07,0.12344106917356532,0.08980622983022309,0.8660186614283709,0.044184930545811706
The Official Surreals,10.08 ETH,138,"4,026.69 ETH",11320,0.07 ETH,9999,5029,50.30%,730.05 ETH,2021/10/07,0.12348400616764788,0.0897873563218391,0.8660808802915615,0.044141575553686564
Dapper Dinos NFT,15.66 ETH,115,"4,009.08 ETH",10458,0.14 ETH,9940,4621,46.49%,"1,353.34 ETH",2021/09/19,0.12445161649944259,0.08994425863991082,0.8660671683389075,0.04399832775919732
Fast Food Punks,5.45 ETH,7,"3,930.95 ETH",2751,0.78 ETH,1000,388,38.80%,778.57 ETH,2021/08/29,0.12871073391973611,0.09034868059373281,0.8661227322704782,0.04353820780648708
The Wanderers,29.70 ETH,83,"3,921.22 ETH",12567,0.36 ETH,8888,4326,48.67%,"3,169.26 ETH",2021/08/18,0.12802273590021693,0.09016323210412147,0.8661765184381778,0.04366960412147505
Avastars,2.25 ETH,23,"3,918.25 ETH",9088,0.10 ETH,25335,4650,18.35%,"2,479.05 ETH",2021/08/13,0.12753554039593365,0.08955029427501339,0.8671595773140717,0.04329895666131622
TheHeartProject,22.49 ETH,163,"3,866.09 ETH",12932,0.14 ETH,9809,4839,49.33%,"1,353.60 ETH",2021/10/19,0.12743326650628173,0.08947848168938785,0.8672661053194334,0.04326423416198877
Sappy Seals,162.28 ETH,593,"3,718.78 ETH",16054,0.27 ETH,9999,2534,25.34%,"2,736.37 ETH",2021/09/07,0.12358001846478502,0.08891018201002374,0.8666804273278819,0.044417963597995255
Nifty League DEGENs,190.09 ETH,324,"3,681.04 ETH",9450,0.59 ETH,9900,3945,39.85%,"5,808.38 ETH",2021/10/05,0.12093126789898463,0.08856248372819578,0.8666434522259828,0.04480252538401458
OnChainMonkey,54.43 ETH,173,"3,666.00 ETH",13773,0.30 ETH,9500,2855,30.05%,"2,879.35 ETH",2021/09/23,0.12254712156258031,0.08907902852737085,0.8664509123618608,0.04447854022102287
The KILLAZ,1.74 ETH,41,"3,638.49 ETH",14739,0.04 ETH,9971,4177,41.89%,423.14 ETH,2021/08/29,0.12431604922608475,0.08954935295610252,0.8658759198173054,0.044583100735853844
Royal Society of Players,7.61 ETH,59,"3,611.26 ETH",10053,0.13 ETH,9999,1632,16.32%,"1,296.12 ETH",2021/07/25,0.12357453995462565,0.08945487774136628,0.8657210738593395,0.044832367027980845
FoxFam,26.46 ETH,144,"3,595.01 ETH",12101,0.18 ETH,10000,3161,31.61%,"1,837.48 ETH",2021/10/15,0.12343639531989047,0.08934042818023401,0.8659901667911376,0.04467762011451332
Swampverse,319.44 ETH,1106,"3,528.46 ETH",10494,0.29 ETH,9599,4787,49.87%,"2,772.41 ETH",2021/12/03,0.1260888861568724,0.08940976149495942,0.8664636095402017,0.04413474305384804
